date,sorted_tags,paper,paper_country,mentioned_countries,headline,summary,news,link
30/4/2020,coronavirus;technology,Guardian,UK,germany, Johnson promises plan next week for return to schools and work, PM says UK is past peak of coronavirus and vows to produce road map for economy, pm says uk past peak coronavirus vows produce road map economy,https://www.theguardian.com/politics/2020/apr/30/britain-is-past-peak-of-coronavirus-outbreak-says-boris-johnson
30/4/2020,technology;coronavirus,Guardian,UK,switzerland;china;germany, Entire UK order of 250 Chinese ventilators ditched over danger to lives, Doctors found breathing kits were so badly made they feared they could kill patients, doctors found breathing kits badly made feared could kill patients,https://www.theguardian.com/uk-news/2020/apr/30/entire-order-of-250-chinese-ventilators-were-useless-despite
30/4/2020,coronavirus;technology,Guardian,UK,, UK watchdog vows to get tough with UK firms over stalled refunds, Move comes after complaints about cancelled holidays and weddings owing to Covid-19, move comes complaints cancelled holidays weddings owing covid 19,https://www.theguardian.com/business/2020/apr/30/uk-watchdog-vows-to-get-tough-with-uk-firms-over-stalled-refunds
30/4/2020,coronavirus,Guardian,UK,, UK police receive 194 000 calls from lockdown 'snitches', Police chiefs says people finding it harder to observe measures the longer they go on, police chiefs says people finding harder observe measures longer go,https://www.theguardian.com/world/2020/apr/30/uk-police-receive-200000-calls-from-lockdown-snitchers
30/4/2020,coronavirus;technology,Guardian,UK,, What does the 'R' number of coronavirus actually signify?, One figure in particular is being closely scrutinised as ministers decide when to end lockdown, one figure particular closely scrutinised ministers decide end lockdown,https://www.theguardian.com/world/2020/apr/30/what-does-the-r-number-of-coronavirus-actually-signify
30/4/2020,coronavirus;technology,Guardian,UK,, Johnson promises 'comprehensive plan' for reopening businesses, Detailed guidelines on working during coronavirus lockdown coming next week  says PM, detailed guidelines working coronavirus lockdown coming next week  says pm,https://www.theguardian.com/world/2020/apr/30/boris-johnson-promises-comprehensive-plan-for-reopening-businesses
30/4/2020,technology;coronavirus,Guardian,UK,germany, Breathless Boris is left floundering as he faces foe he can't outbluster, At his comeback virus briefing the PM repeats same old words  but even he struggles to believe them, comeback virus briefing pm repeats old words  even struggles believe,https://www.theguardian.com/politics/2020/apr/30/breathless-boris-is-left-floundering-as-he-faces-foe-he-cant-outbluster
30/4/2020,coronavirus;technology,Guardian,UK,, 'I feel completely lost': families tell of Covid-19 care home deaths, Fearing for  and losing  loved ones in locked-down homes has left relatives with anger and confusion, fearing  losing  loved ones locked homes left relatives anger confusion,https://www.theguardian.com/world/2020/apr/30/i-feel-completely-lost-families-tell-of-covid-19-care-home-deaths
30/4/2020,coronavirus;technology,Guardian,UK,, UK carers who lost jobs after raising safety fears consider legal action, Charity warns whistleblowers are being sacked from care homes during Covid-19 crisis, charity warns whistleblowers sacked care homes covid 19 crisis,https://www.theguardian.com/society/2020/apr/30/uk-carers-lost-jobs-raising-safety-fears-consider-legal-action-covid-19-care-homes
30/4/2020,coronavirus;technology,Guardian,UK,, Randomised test of 100 000 to help decide end of UK lockdown, Home testing kits will be sent out next week to clear up ‘Wild West’ of Covid-19 estimates, home testing kits sent next week clear ‘wild west’ covid 19 estimates,https://www.theguardian.com/world/2020/apr/30/randomised-coronavirus-test-of-100000-will-determine-end-date-of-uk-lockdown
