date,categories,paper,paper_country,mentioned_countries,headline,summary,news,link
05/11/2020,coronavirus;government,Hindustan Times,India,colombia;india,News updates from Hindustan Times: Harsh Vardhan urges testing for those who report -ve in antigen test in Delhi and all the latest news,Here are today’s top news  analysis  and opinion. Know all about the latest news and other news updates from Hindustan Times.,Here are today’s top news  analysis  and opinion. Know all about the latest news and other news updates from Hindustan Times. Harsh Vardhan urges testing for those who test -ve in antigen test Amid surge in coronavirus cases in Delhi  union health minister Harsh Vardhan on Thursday asked the state government to ensure mandatory testing for all those who develop symptoms after testing negative on a rapid antigen test. Read more Ex-Karnataka minister arrested by CBI in BJP worker’s murder case Senior Congress leader and former minister in the Siddaramaiah cabinet Vinay Kulkarni was arrested on Thursday from his residence at Barakotri in Dharwad district by the CBI probing the 2016 murder of a BJP Zilla Panchayat member Yogesh Gowda. Read more 1 10 000 medical staff on priority to receive first round of Covid-19 vaccine  The Pune district administration is now geared for the distribution of the Covid vaccination  under its “Negcav” (National Expert Group on Vaccine Administration for Covid-19) programme  formed by the district administration. Read more IPL 2020  MI vs DC: Delhi Capitals players wear black arm bands during Qualifier 1  here’s why Shreyas Iyer-led Delhi Capitals team stepped out to the take the field wearing black arm bands during the first Qualifier of the Indian Premier League 2020 against Rohit Sharma’s Mumbai Indians on Thursday. The reason for wearing the black arm bands was that DC fast bowler Mohit Sharma had to fly back home before the match following the death of his father. Read more Eager fan slips something into Ananya Panday’s hand  as actor’s team tries to block her A paparazzi video that shows actor Ananya Panday being approached by an eager fan has been shared online. Ananya was exiting the Dharma Productions office when the fan approached her  in the presence of several photographers. Read more            Brad Pitt visits Angelina Jolie’s home in a bid to end the ‘ugliness’ around bitter custody battle: Report Actor Brad Pitt visited his ex-wife Angelina Jolie at her Los Angeles home recently  amid their ongoing custody battle over their six kids. The actor reportedly arrived with the intention of ‘making peace’ with his former wife. Read more ‘Our hearts have no wrinkles’: 69-year-old raps on buses in Colombian to make ends meet  spreads smiles in the process With her pink cardigan and thick glasses  “Toothless Cindy” is becoming a musical sensation on Colombian public transport. Read more Watch: Virat Kohli turns 32  cuts cake with wife Anushka Sharma by his side Cricketer Virat Kohli turned 32 on Thursday and celebrated his birthday in style. Kohli celebrated his birthday with his wife  actor Anushka Sharma  and others. His Royal Challengers Bangalore team also took part in the birthday bash. Watch here,https://www.hindustantimes.com/india-news/news-updates-from-hindustan-times-harsh-vardhan-urges-testing-for-those-who-report-ve-in-antigen-test-in-delhi-and-all-the-latest-news/story-I2sAhH22BRVHohFrt0HfKP.html
05/11/2020,government,Hindustan Times,India,,Jharkhand joins non-BJP ruled states in withdrawing general consent to CBI,Prior to this  non-BJP-ruled states like West Bengal  Rajasthan  Chhattisgarh  Andhra Pradesh  Rajasthan and Kerala had imposed a similar restrictions on CBI.,Jharkhand on Thursday withdrew the general consent to the Central Bureau of Investigation (CBI) to investigate cases in the state. The central agency will now require the approval of the Hemant Soren government to launch a probe that falls within the boundaries of state. “The powers vested on CBI were given dated 19th February 1996 by the erstwhile then Bihar Govt to CBI. The governments of West Bengal  Rajasthan and Chhattisgarh and earlier Mizoram had recently withdrawn the general consent to the Central Bureau of Investigation (CBI)  a kind of blanket nod for the agency to probe scheduled offences specified in the Delhi Special Police Establishment Act (DPSE) Act  1946 ” an order from the Jharkhand government said. Prior to this  non-BJP-ruled states like West Bengal  Rajasthan  Chhattisgarh  Andhra Pradesh  Rajasthan and Kerala had imposed a similar restrictions on CBI. CBI comes under the DSPE Act and it requires states to give the agency a general consent to act against central government employees within a state as public order and police come under the state governments  which routinely renew this permission.,https://www.hindustantimes.com/india-news/jharkhand-joins-list-of-non-bjp-ruled-states-to-withdraw-general-consent-to-cbi/story-ih8nlFTTC3Mj2TDArqKvjL.html
05/11/2020,government;coronavirus,Hindustan Times,India,india,Revised Covid guidelines issued by Centre for international arrivals,The guidelines stated that international passengers arriving without an RT-PCR negative certificate and wishing to seek exemption from institutional quarantine may also avail the facility to undergo testing at the airports where such provisions exist.,The government on Thursday issued a set of revised guidelines for international arrivals  under which travellers seeking exemption from institutional quarantine will need to submit a negative RT-PCR report 72 hours before undertaking the journey. The India-bound passengers can also undergo Covid-19 testing at the airports where the provisions are available. According to the guidelines issued by the Health ministry  passengers would need to give an undertaking on the portal or to the Ministry of Civil Aviation through concerned airlines before they are allowed to undertake the journey  stating that they would abide by the decision of the appropriate government authority to undergo facility/ home quarantine/self-monitoring of their health for 14 days  or as warranted. “Only for compelling reasons/ cases of human distress such as pregnancy  death in family  serious illness and parent(s) with children of the age of 10 years or below  home quarantine may be permitted for 14 days ” it said. For seeking exemption  they would need to apply to the online portal at least 72 hours before boarding the flight to India. The decision taken by the government as communicated on the online portal will be final  it said.    “Travellers may also seek exemption from institutional quarantine by submitting a negative RT-PCR test report. This test should have been conducted within 72 hours prior to undertaking the journey. The test report should be uploaded on the portal for consideration ” the guidelines said.    The guidelines stated that international passengers arriving without an RT-PCR negative certificate and wishing to seek exemption from institutional quarantine may also avail the facility to undergo testing at the airports where such provisions exist. “International passengers arriving without RT-PCR negative certificate and not opting for RT PCR test at airport (if facility is available) /arriving at an airport where testing facility is not available will have to undergo mandatory 7 days’ institutional quarantine and 7 days’ home quarantine ” it said. “The passengers who have been exempted from institutional quarantine will show the same to the respective state counters on their cell phones/other mode before being allowed home quarantine for 14 days ” it said. The remaining passengers shall be taken to suitable institutional quarantine facilities  to be arranged by the respective State/UT Governments to undergo mandatory seven days’ institutional quarantine and seven days’ home quarantine  it said. These passengers shall be kept under institutional quarantine for a minimum period of seven days  the guidelines said. They will be tested as per ICMR protocol. If they are assessed as asymptomatic / pre-symptomatic/ very mild cases  they will be allowed home isolation or isolated at a Covid Care Centre (both public and private facilities) as appropriate  it said  adding that those with mild/ moderate/ severe symptoms will be admitted to dedicated Covid Health facilities and managed accordingly. International passengers arriving through seaports/land ports will also have to undergo the same protocol as above  except that facility for online registration is not available for such passengers currently  the guidelines said. “Such passengers shall submit the self-declaration form to the concerned authorities of Government of India at seaports/land ports on arrival. If found negative  they shall be advised to self-monitor their health for additional 7 days ” it said. Dos and Don’ts shall be provided along with ticket to the travellers by the airlines/agencies concerned  and all passengers will be advised to download the Aarogya Setu app on their mobile devices at the time of boarding the flight.  Only asymptomatic travellers will be allowed to board the flights after thermal screening. Suitable precautionary measures such as environmental sanitation and disinfection shall be ensured at the airports  the guidelines said. These revised guidelines supersede those issued on the subject on August 2.,https://www.hindustantimes.com/india-news/revised-covid-guidelines-issued-by-centre-for-international-arrivals/story-IOyRjlTXrTaM8ZMrVMuBXJ.html
05/11/2020,government,Hindustan Times,India,,For Subhashini ‘Sharad Yadav’  protecting father’s turf  legacy uphill task on poll debut,Subhashini has chosen her father’s tested turf of Madhepura to jump into the rough and tumble of politics.   Sharad Yadav  a veteran socialist leader  has represented Madhepura in Parliament four times and has also lost from there many times  including in the last two Lok Sabha elections.,She jumped into the electoral battle to protect her father Sharad Yadav’s political legacy  but the journey to success in Bihariganj assembly seat is an arduous one for Subhashini Raj Rao  who as a Congress candidate is locked in a multi-corner contest in the constituency. A part of the Madhepura Lok Sabha seat  Bihariganj will go to polls in the third and last phase on November 7. Subhashini has chosen her father’s tested turf of Madhepura to jump into the rough and tumble of politics.   Sharad Yadav  a veteran socialist leader  has represented Madhepura in Parliament four times and has also lost from there many times  including in the last two Lok Sabha elections. Though a native of Madhya Pradesh  Yadav chose Madhepura Lok Sabha constituency to fight elections as a mark of respect to B P Mandal  the author of the Mandal Commission report who was born here. The Mandal Commission report  providing 27 per cent reservation in government jobs to Other Backward Classes  was implemented by the V P Singh government at the centre in which Yadav was a senior member. Yadav along with RJD president Lalu Prasad and incumbent Bihar Chief Minister Nitish Kumar had played an important role in the “Mandal movement” that paved the way for implementation of the jobs quota recommendations in 1990. The 73-year-old Yadav is admitted to a hospital in Delhi for past many days and hence his daughter has taken up the task to carry forward his political legacy. Her election posters in the constituency introduces her as Subhashini ‘Sharad Yadav’. “This has been my father Sharad Yadav’s karmabhoomi and the kind of support and love that you have given him over the past 25-30 years  I too can feel the same here today ” she told an election at Bihariganj on Wednesday. “I am your candidate  your daughter. I have come here to serve you  to fulfil the dreams of my father ” she told the crowd.    The rally was also addressed by Congress leader Rahul Gandhi who praised Sharad Yadav for his works  and asked the crowd to vote for her.   “I have not said this in any of my speeches in Bihar elections ” he told the crowd as he appealed them to vote for his “sister”. “I want a guarantee from you that you will make Sharad ji’s daughter win the election. I am not asking for myself  but for you and Sharad Yadav ji  who is your leader. ”  Married to a Congress family of Haryana  Subhashini Raj Rao joined the grand old party on the eve of Bihar polls and was fielded by the party from Bihariganj assembly seat. Though Madhepura seat would have been an ideal launchpad for her  the Congress had to settle for Bihariganj as in the seat-sharing arrangement Madhepura went to the RJD  which has re-nominated its old hand Chandrasekhar.   In her maiden electoral plunge  Subhashini is pitted against two time JD(U) MLA Niranjan Mehta  Lok Janshakti Party candidate Vijay Kumar Singh and Prabhash Kumar of Janadhikar Party (JAP)  which is headed by former Madhepura MP and a prominent Yadav caste politician Rajesh Ranjan alias Pappu Yadav.    There are a total of 22 candidates on the seat and as per the voter list of 2019  there are 3 00 885 electorate in this constituency.   Dinesh Chandra Yadav of the (JD-U) had won from Madhepura seat in the 2019 Lok Sabha election  defeating Sharad Yadav  who had contested from the RJD of Lalu Prasad. Though Yadavs form a bulk of the electors in the constituency  there is a significant presence of other backward castes such as Kushwahas and Extremely Backward Castes. Sitting MLA Niranjan Mehta  a Kushwaha by caste  could lose a section of votes to fellow casteman and LJP nominee Vijay Kumar Singh. Subhasini’s path also does not look very easy. JAP candidate Prabhash Kumar  a Yadav by caste who was once a favourite of Lalu Prasad and had served as the state general secretary of the RJD  left the party after the seat went to the Congress and joined Pappu Yadav-led outfit. As such  Subhasini might not get the full support of the dominant partner party  the RJD.   Sources in the political circles say that local Grand Alliance coalition leaders and workers are not happy over an “outsider” being fielded as a “parachute candidate”  The recent electoral history of the constituency is also not very encouraging for the grand old party. The Congress had not contested the last state polls since the seat had gone to the JD(U)  which was then its ally alongside the RJD  but in 2010 elections  Congress nominee Ranjeet Ranjan  the wife of Pappu Yadav  had stood third. The LJP candidate’s wife Renu Kushwaha had won the Bihariganj seat as a JD(U) candidate in 2010  bagging 79 062 votes while Ranjeet Ranjan had received 27 554. Prabhash Kumar  then in the RJD  had stood second with 29 065 cotes. Subhashini’s main JD(U) rival is relying on Nitish Kumar’s development mantra and also highlighting the “poor” governance and law and order situation in the state under the RJD’s 15-year rule. Nitish Kumar  while campaigning for his party nominee recently  refrained from speaking anything against Sharad Yadav  his former party colleague  and Subhashini. Locals are divided in their appraisals of the government and the opposition.   Tej Narain Yadav  Raj Kumar Yadav  Ram Chandra Sah and Sunil Kumar gave pass mark to the JD(U)  happy with the development work carried out by the Nitish Kuamr government.    However  others highlighted joblessness and what they perceived as corruption under the NDA government. PTI CORR SNS  TIR TIR TIR TIR,https://www.hindustantimes.com/bihar-election/for-subhashini-sharad-yadav-protecting-father-s-turf-legacy-uphill-task-on-poll-debut/story-izAzxfRDl1W6G2JwlDSBWM.html
05/11/2020,coronavirus,Hindustan Times,India,,Firecrackers banned during Diwali  Kali and Chhath Puja in Bengal: Court,While hardly any crackers are used during Durga Puja – the biggest festival in West Bengal - huge amount of crackers are used during the Kali Puja and Diwali every year leading to severe air pollution.,The Calcutta High Court on Thursday banned the use of fireworks during Kali Puja  Diwali and Chhath Puja in November to check the spread of coronavirus in Bengal. Earlier on October 19  the high court had banned the entry of visitors in Durga Puja pandals and mandated putting up of barricades  declaring them as no-entry zones. The result was that West Bengal witnessed a muted Durga Puja this year.  “The high court has extended the Durga Puja restrictions on Kali Puja. Entry of visitors has been banned while capping the number of puja committee members who can enter the pandal at a time ” said Sabyasachi Chatterjee  the lawyer who filed the PIL based on which the orders were passed. Chief minister Mamata Banerjee said despite Durga Puja festivities there has been no alarming spike in Covid-19 cases. Earlier  doctors had warned there could be a three to four-fold rise in Covid-19 cases if restrictions were relaxed during the puja.  “I would thank the administration and the puja committees for maintaining peace and following Covid-19 restrictions. Next we have the Kali Puja  Jagadhatri Puja and Chhath Puja. We need to follow restrictions so that there is no further spread. There would be no immersion procession ” said Banerjee.  While hardly any crackers are used during Durga Puja – the biggest festival in West Bengal - huge amount of crackers are used during the Kali Puja and Diwali every year leading to severe air pollution. The Air Quality Index of Kolkata turned poor after Diwali in 2019.  Environment and health experts have warned that chronic exposure to air pollutants is associated with severe infections and higher mortality. They feel that lungs compromised due to pollution could lead to complications like pneumonia during Covid-19. “The court has banned the sale and use of fireworks and crackers during Kali Puja  Diwali and Chhath Puja this year. There would be no immersion processions this year ” said Chatterjee.  In its preliminary observations  the bench also said that gathering of people at Rabindra Sarobar and Subhash Sarobar  two of the city’s largest lakes  should be avoided.  “It is a welcome order. This would help to bring down the pollution after Diwali which could have aggravated the Covid-19 situation ” said Subhas Dutta  environment lawyer.,https://www.hindustantimes.com/india-news/firecrackers-banned-during-diwali-kali-and-chhath-puja-in-bengal-court/story-oyogJRkH35PxlSiVhLQwpM.html
05/11/2020,coronavirus,Hindustan Times,India,india,Air pollution increases risk of mortality from Covid-19  NGT informed,Senior advocate Raj Panjawani and advocate Shibhani Ghosh  who have been appointed by the tribunal as amicus curiae in a case related to ban on fire crackers  told a bench headed by NGT Chairperson Justice A K Goel that particulate air pollution contributed 15 per cent to Covid-19 mortality worldwide.,Air pollution is an important cofactor increasing the risk of mortality from Covid-19 as per latest research  the National Green Tribunal was informed on Thursday. Senior advocate Raj Panjawani and advocate Shibhani Ghosh  who have been appointed by the tribunal as amicus curiae in a case related to ban on fire crackers  told a bench headed by NGT Chairperson Justice A K Goel that particulate air pollution contributed 15 per cent to Covid-19 mortality worldwide. “The latest research on exposure to air pollution and risk of death from Covid-19 infection suggests that ‘air pollution is an important cofactor increasing the risk of mortality from Covid- 19’ ” they said.   “The study also states that this finding should provide ‘extra motivation for combining ambitious policies to reduce air pollution with measures to control the transmission of Covid- 19’. The study estimates that particulate air pollution contributed 15 per cent to Covid-19 mortality worldwide ” they added. The amicus curiae referred to a study by Andrea Pozzer and others -- ‘Regional and global contributions of air pollution to risk of death from Covid-19’ -- and sought suspension of all licences issued by any authority for sale of all kinds of firecrackers. Senior advocate Mahesh Jethmalani  appearing for Indian Fireworks Manufacturers’ Association  opposed the submission of blanket ban on fire crackers and said there is no definite finding and the apex court is already seized of the matter. Advocate Balendu Shekhar  appearing for the Environment Ministry  told the NGT that there is no conclusive finding on relation of air pollution with Covid mortality and they have written to the ministry of health and the ministry of earth sciences seeking their opinion on the issue . The NGT reserved the order and said it will be uploaded on its website by November 9. The amicus referred to ‘State of Global Air 2020’ report released by the Health Effects Institute and the Institute for Health Metrics and Evaluation’s Global Burden of Disease Project  which estimates that India witnessed 980 000 deaths attributable to PM2.5.   The report also states that the long-term exposure to air pollution can cause many of the health conditions associated with increased vulnerability to Covid-19  such as diabetes  cardiovascular disease  and chronic obstructive lung disease  they said. The amicus told the tribunal that green crackers per se generate less pollution  nevertheless they are a major contributor towards pollution as reflected in the CPCB report. Consequently  the only alternative left under the circumstances is to take stern and surgical step to check the proliferation of all kinds of crackers in the interest of general public health and life particularly during this phase of severe Covid-19 pandemic  they said. The amicus sought suspension of all licences issued by any authority for sale of all kinds of firecrackers and if any person is found selling any kind of firecrackers would impliedly be an abettor to environmental pollution and liable for environmental damage of Rs 1 lakh. “In case of individuals found using or allowing the use of any kind of firecracker  the Hon’ble Tribunal may consider imposing a fine of not less than Rs 10 000 ” the amicus suggested. The NGT had on November 2 issued notice to Ministry of Environment and Forests (MoEF) and four State governments on whether use of fire crackers be banned from November 7 to 30 in the interest of public health and environment. The tribunal was hearing a plea by Indian Social Responsibility Network  filed through Santosh Gupta  seeking action against pollution by use of fire crackers in NCR during the time air quality is unsatisfactory with potential of severity of Covid-19 pandemic.,https://www.hindustantimes.com/india-news/air-pollution-increases-risk-of-mortality-from-covid-19-ngt-informed/story-MGFIcGiCCp2yXSAD7w7oqM.html
05/11/2020,government,Hindustan Times,India,india,Farm law protests: Railways assured about removal of blockade along Punjab tracks,“We have been assured blockades along tracks in Punjab will be removed by tomorrow. DG RPF is reviewing safety of the tracks. We will resume all train services once the tracks come back in our control ” the Railway Board Chairman Vinod Kumar Yadav said.,The Railway Board chairman on Thursday said that he has been assured about the removal of blockade along train tracks in Punjab. The train services have been suspended for over a month due to the protests over farm laws enacted by the Centre during the Parliament’s monsoon session in September.  “We have been assured blockades along tracks in Punjab will be removed by tomorrow. DG RPF is reviewing safety of the tracks. We will resume all train services once the tracks come back in our control ” the Railway Board Chairman Vinod Kumar Yadav said.  He added that the railway ministry stated two conditions before the state government- there should be no compromise on safety  and blockades should be removed. As the tussle between the Centre and the Punjab state government over allowing the passage of trains in the state continued  the Indian Railways on Wednesday claimed losses of nearly Rs 1 200 crore in freight revenue with more than 2 225 goods trains suspended and 1 350 passenger trains cancelled and diverted. Protests along railway tracks in Punjab were underway in 32 places due to which train movement remained suspended  said the railway ministry on Wednesday. Also Read: Farmers block Delhi-Amritsar highway to protest against farm laws “Agitators have continued dharna at platforms/near railway tracks. Train movement again suspended due to operational and safety considerations as agitators have suddenly stopped some train movements and sporadic blockade continued at various places like especially around Jandiala  Nabha  Talwandi Sabo and Bathinda ” a railway ministry spokesperson had said.,https://www.hindustantimes.com/india-news/farm-law-protests-railway-board-chairman-says-assurance-given-about-removal-of-blockade-along-train-tracks-in-punjab-by-tomorrow/story-abdGMJDFmn4UrEE3mckNuK.html
05/11/2020,coronavirus;technology,Hindustan Times,India,china;india;belgium;germany;france;philippines;united states,China suspends special flights from India as Covid-19 cases rise,While commercial flights between India and China have not resumed  Air India has been operating special rescue flights under the VBM mission to different cities of China.,China on Thursday indefinitely suspended air travel from India  barring non-Chinese flyers to return to the country  following a spike in Covid-19 cases in last week’s Vande Bharat Mission (VBM). While commercial flights between India and China have not resumed  Air India has been operating special rescue flights under the VBM mission to different cities of China. Beijing made similar announcements to bar entry of non-Chinese visitors from Britain  Belgium and the Philippines and demanded travellers from the United States  France and Germany present results of additional health tests as it guards itself against a resurgence in coronavirus cases rising around the world. The new suspension order is a partial reversal of an easing on September 28  when Beijing allowed all foreigners with valid residence permits to enter. China had banned entry of foreigners in response to the epidemic at the end of March.  For India  it means the four VBM flights scheduled every week from November 13th onwards now would have to be rescheduled. Officials in Beijing say more than 1 500 Indians had registered to return to China; Beijing’s new announcement makes their return to China uncertain. The Chinese foreign ministry defended the decision  saying it was a “reasonable and fair” measure to tackle the pandemic.  “China is drawing on the practices of many countries and adjusting its handling of the entry of the relevant people into China based on the changing pandemic situation ” ministry spokesperson  Wang Wenbin  said at the regular ministry briefing on Thursday. The India-specific announcement said that neither the Chinese embassy in New Delhi nor consulates in Mumbai and Kolkata would stamp on health certificates furnished by normal passport holders. “Due to the Covid-19 pandemic  it’s hereby announced that China has decided to temporarily suspend the entry into China by foreign nationals in India holding valid Chinese visas or residence permits ” the Chinese government said in an announcement on Thursday. “The Chinese Embassy/ Consulates in India will not stamp the Health Declaration Forms for the holders of the above-mentioned categories of visa or residence permits ” the statement added. The Chinese statement clarified that foreigners holding “…Chinese diplomatic  service  courtesy and C visas are not affected.” “Foreigners with emergency or humanitarian needs to visit China can submit visa application to the Chinese Embassy/ Consulates in India. The entry into China with visas issued after November 3rd  2020 is not affected.” “The suspension is a temporary measurement that China has to adopt to deal with the current pandemic. China will make further adjustment and announcement in accordance with the ongoing pandemic situation in a timely manner ” the statement added. As many as 23 Covid-19 positive Indians among them 19 asymptomatic carriers of the infection were on board a VBM flight  which landed in the central Chinese city of Wuhan from New Delhi last Friday. The flight had registered the highest number of infected persons on an Indian rescue flight to China so far. The large number of cases on the flight – and the high incidence of the disease in India – prompted the Chinese embassy in New Delhi to change pre-boarding Covid-19 testing rules for Indians coming to China on special flights  November 7 onwards.,https://www.hindustantimes.com/world-news/china-suspends-special-flights-from-india-as-covid-19-cases-rise/story-oAhoXF3b1cZ4UeV89jf46M.html
05/11/2020,coronavirus;technology,Hindustan Times,India,china;india;belgium;germany;france;philippines,China suspends special flights from India over Covid-19 concerns,The new suspension order is a partial reversal of an easing on September 28  when Beijing allowed all foreigners with valid residence permits to enter.,China on Thursday indefinitely suspended air travel from India  barring non-Chinese travellers from coming into the country following a spike in Covid-19 cases in last week’s Vande Bharat Mission (VBM) flight.  While commercial flights between India and China haven’t resumed  Air India has been operating special repatriation flights under the VBM mechanism to different Chinese cities.  The new measure means four VBM flights scheduled every week from November 13 onwards will have to be rescheduled.  Beijing made similar announcements on barring the entry of non-Chinese visitors from Britain  Belgium and the Philippines  and demanded travellers from the US  France and Germany present the results of additional health tests as part of measures to counter a resurgence in Coronavirus cases around the world.  The new suspension order was a partial reversal of an easing on September 28  when Beijing allowed all foreigners with valid residence permits to enter. China had banned the entry of foreigners at the end of March.  In New Delhi  people familiar with developments said that the Chinese government’s announcement indicated the measure was a temporary action and that further changes could be expected in a timely manner. They said the Indian side is in touch with the Chinese side to facilitate essential travel by Indians to and from China.  Officials in Beijing said more than 1 500 Indians had registered to return to China  and Beijing’s announcement had created uncertainty.  China’s foreign ministry defended the decision  saying it was a “reasonable and fair” measure to tackle the pandemic. “China is drawing on the practices of many countries and adjusting its handling of the entry of the relevant people into China based on the changing pandemic situation ” ministry spokesperson Wang Wenbin told a regular news briefing.  The India-specific announcement said the Chinese embassy in New Delhi and the consulates in Mumbai and Kolkata wouldn’t stamp health certificates furnished by normal passport holders.  “Due to the Covid-19 pandemic  it’s hereby announced that China has decided to temporarily suspend the entry into China by foreign nationals in India holding valid Chinese visas or residence permits ” the government said in its announcement.  “The Chinese Embassy/Consulates in India will not stamp the Health Declaration Forms for the holders of the above-mentioned categories of visa or residence permits ” it added. The statement clarified that foreigners holding “Chinese diplomatic  service  courtesy and C visas” wouldn’t be affected by the move.  “Foreigners with emergency or humanitarian needs to visit China  can submit visa application to the Chinese Embassy/Consulates in India. The entry into China with visas issued after November 3rd  2020 is not affected ” the statement said.  “The suspension is a temporary measurement (sic) that China has to adopt to deal with the current pandemic. China will make further adjustment and announcement in accordance with the ongoing pandemic situation in a timely manner ” it added.  Twenty-three Indians on a VBM flight from New Delhi to the central Chinese city of Wuhan last Friday tested positive for Covid-19  of whom 19 were asymptomatic. The flight registered the highest number of infected people on an Indian repatriation flight to China so far.  The large number of cases – and the high incidence of the disease in India – prompted the Chinese embassy in New Delhi to change pre-boarding testing rules for Indians coming to China on special flights from November 7.  The people cited above said Chinese authorities had acted only to temporarily suspend existing visas  and future visa applications had not been banned. “Visas issued after November 3 are valid for travel to China  and the measure isn’t India-specific. Similar measures have been announced for several other countries ” a person said.,https://www.hindustantimes.com/india-news/china-suspends-special-flights-from-india-over-covid-19-concerns/story-Ewar6wmESOQAZFHXbKkbgO.html
05/11/2020,coronavirus;government,Hindustan Times,India,,CM Arvind Kejriwal reviews Covid situation in Delhi  decides to ban firecrackers,In a tweet  Kejriwal said the Covid-19 cases in Delhi have increased due to the festival season and pollution. The review meet was attended by the chief secretary and all district magistrates.,Delhi chief minister Arvind Kejwiral on Thursday held a review meeting to discuss the spread of the coronavirus disease (Covid-19) in the national capital. After the meeting  he ordered a ban on firecrackers amid the ongoing festive season and ramping up of the medical infrastructure. In a tweet  Kejriwal said the Covid-19 cases in Delhi have increased due to the festival season and pollution. The review meet was attended by the chief secretary and all district magistrates. “Del HC has stayed our order to increase ICU beds in pvt hospitals. Filed appeal in SC yesterday. We hope SC will lift the stay keeping in view the critical situation ” the chief minister said in the tweet. 3. Del HC has stayed our order to increase ICU beds in pvt hospitals. Filed appeal in SC yesterday. We hope SC will lift the stay keeping in view the critical situation4. Targetted testing5. All steps shud be taken to ensure that fatality rate does not increase On Wednesday  the chief minister said that Delhi has been witnessing a third wave of the Covid-19 outbreak  but added that the government is closely monitoring the situation and there is no need to panic. For the past few days  Delhi has reported a huge surge in its daily Covid-19 tally. 6 800 fresh cases and 51 more related fatalities were registered on Wednesday which pushed the overall tally to over 400 000. This was the second consecutive day when nearly 7 000 cases were reported in a span of 24 hours. The government has now started conducting Covid-19 tests in markets and other crowded areas to strengthen its surveillance mechanism. Also Read: Delhi reporting third Covid-19 wave  says CM Arvind Kejriwal The Union home ministry had recently attributed the recent rise in cases in Delhi due to festive season and leniency shown by residents in following Covid-19 related restrictions. As the use of firecrackers increases pollution which could lead to a spike in respiratory disease (critical in times of Covid-19)  the National Green Tribunal (NGT) had on Monday issued notices to Delhi along with Haryana  Uttar Pradesh and Rajasthan to ban their use as these four states are massively affected by air pollution ahead of the winter season.,https://www.hindustantimes.com/delhi-news/arvind-kejriwal-reviews-covid-situation-in-delhi-decides-to-ban-firecrackers/story-gWG1jI1NajjSn2n3afy1CL.html
