Word,Category
app,Technology
application,Technology
mobile app,Technology
mobile application,Technology
artificial inteligence,Technology
tecnology,Technology
tecnologies,Technology
machine,Technology
machine learning,Technology
machine-learning,Technology
surveillance technology,Technology
surveillance technologies,Technology
robot,Technology
robots,Technology
bot,Technology
chatbot,Technology
scientist,Technology
scientists,Technology
tech,Technology
emerging tech,Technology
emerging technology,Technology
emerging technologies,Technology
big data,Technology
data science,Technology
open data,Technology
tracking,Technology
contact-tracing,Technology
contact tracing,Technology
digital technology,Technology
digital technologies,Technology
software,Technology
new technology,Technology
new technologies,Technology
digital innovation,Technology
innovation,Technology
innovative solution,Technology
innovative solutions,Technology
covid-19,Coronavirus
covid19,Coronavirus
coronavirus,Coronavirus
pandemic,Coronavirus
SARS-CoV-2,Coronavirus
quarentine,Coronavirus
isolation,Coronavirus
self-isolation,Coronavirus
social distancing,Coronavirus
vaccine,Coronavirus
prevention measure,Coronavirus
prevention measures,Coronavirus
government,Government
digital government,Government
digital governance,Government
smart government,Government
smart governance,Government
government 3.0,Government
e-government ,Government
e-governance,Government
electronic government,Government
electronic governance,Government
local government,Government
municipality,Government
