Word,Category
app,Tecnologia
aplicação,Tecnologia
aplicação móvel,Tecnologia
app móvel,Tecnologia
inteligência artificial,Tecnologia
tecnologia,Tecnologia
tecnologias,Tecnologia
machine learning,Tecnologia
machine-learning,Tecnologia
vigilância,Tecnologia
tecnologia de vigilância,Tecnologia
robô,Tecnologia
robôs,Tecnologia
robot,Tecnologia
bot,Tecnologia
chatbot,Tecnologia
cientista,Tecnologia
cientistas,Tecnologia
tech,Tecnologia
tecnologia,Tecnologia
tecnologia emergente,Tecnologia
tecnologias emergentes,Tecnologia
big data,Tecnologia
mega dados,Tecnologia
ciência dos dados,Tecnologia
tracking,Tecnologia
dados abertos,Tecnologia
contact-tracing,Tecnologia
contact tracing,Tecnologia
tecnologia digital,Tecnologia
tecnologias digitais,Tecnologia
software,Tecnologia
inovação digital,Tecnologia
inovação,Tecnologia
solução inovadora,Tecnologia
soluções inovadoras,Tecnologia
covid-19,Coronavirus
covid19,Coronavirus
coronavirus,Coronavirus
pandemia,Coronavirus
SARS-CoV-2,Coronavirus
quarentena,Coronavirus
isolamento,Coronavirus
distanciamento social,Coronavirus
vacina,Coronavirus
medida preventiva,Coronavirus
medidas preventivas,Coronavirus
governo,Governo
governo digital,Governo
governo inteligente,Governo
governo smart,Governo
governo 3.0,Governo
governo eletrónico,Governo
governança eletrónica,Governo
governo local,Governo
município,Governo
freguesia,Governo
câmara,Governo
câmara municipal,Governo
administração pública,Governo
